,Player,Team,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
16,下川諒,VC長野トライデンツ,90,60,3,1,0,33.3,0.02,0,0,0,,7,0.12,181,3,7,33,5.2,4,0,1,12.5,2766,17610,11,33.3,
17,中島健太,JTサンダーズ広島,36,1,0,0,0,,0.0,0,0,0,,0,0.0,1,0,1,0,-25.0,0,0,0,,1160,10767,0,,
18,中村啓人,VC長野トライデンツ,340,44,52,14,5,26.9,0.32,18,5,4,27.8,1,0.02,18,0,5,6,1.4,0,0,0,,2981,21200,15,17.3,5.6
19,中村竜輔,大分三好ヴァイセアドラー,108,52,89,43,3,48.3,0.83,0,0,0,,24,0.46,143,3,7,20,4.4,22,8,4,45.5,2718,16819,70,44.9,
20,中村駿介,パナソニックパンサーズ,9,3,0,0,0,,0.0,0,0,0,,0,0.0,1,0,0,0,0.0,0,0,0,,553,6577,0,,
21,中野倭,ウルフドッグス名古屋,256,10,0,0,0,,0.0,0,0,0,,0,0.0,15,0,3,4,1.7,0,0,0,,2318,28116,0,,
22,中野竜,VC長野トライデンツ,76,49,211,93,14,44.1,1.9,29,12,5,41.4,12,0.24,127,6,31,31,4.7,224,80,48,46.4,2798,20315,111,37.4,24.1
23,久保田雅人,大分三好ヴァイセアドラー,234,51,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,183,65,43,47.3,2718,16819,0,,
24,井上慎一朗,JTサンダーズ広島,85,41,120,52,9,43.3,1.27,19,12,0,63.2,11,0.27,103,5,21,21,4.9,104,31,25,41.8,2614,25596,68,35.8,63.2
25,井口直紀,大分三好ヴァイセアドラー,378,42,2,2,0,100.0,0.05,0,0,0,,3,0.07,99,1,6,16,3.5,0,0,0,,2718,16819,6,100.0,
26,今村貴彦,パナソニックパンサーズ,162,14,1,1,0,100.0,0.07,0,0,0,,1,0.07,0,0,0,0,,0,0,0,,2616,30367,2,100.0,
27,今橋祐希,東京グレートベアーズ,90,3,0,0,0,,0.0,0,0,0,,0,0.0,6,0,0,0,0.0,0,0,0,,1091,6922,0,,
28,仲本賢優,パナソニックパンサーズ,160,54,275,129,15,46.9,2.39,12,6,1,50.0,7,0.13,178,5,39,48,4.1,308,158,71,62.8,2988,34500,141,41.5,41.7
29,伊藤友健,パナソニックパンサーズ,12,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,130,1782,0,,
30,伊藤樹,VC長野トライデンツ,96,6,9,4,0,44.4,0.67,0,0,0,,0,0.0,4,0,3,0,-18.8,24,6,4,33.3,2253,17178,4,44.4,
31,伊藤洸貴,大分三好ヴァイセアドラー,176,45,6,4,1,66.7,0.09,0,0,0,,10,0.22,97,1,23,17,-0.5,4,0,0,0.0,2452,15459,15,50.0,
32,伊賀亮平,パナソニックパンサーズ,272,71,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,231,116,62,63.6,2511,30719,0,,
33,伏見大和,ウルフドッグス名古屋,20,5,6,3,1,50.0,0.6,0,0,0,,3,0.6,7,0,0,2,7.1,1,1,0,100.0,719,9386,6,33.3,
34,佐藤謙次,サントリーサンバーズ,168,38,53,31,2,58.5,0.82,0,0,0,,9,0.24,99,4,8,13,5.3,1,1,0,100.0,2238,19393,44,54.7,
35,備一真,VC長野トライデンツ,240,72,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,272,178,44,73.5,2981,21200,0,,
36,傳田亮太,ウルフドッグス名古屋,198,59,129,70,6,54.3,1.19,0,0,0,,42,0.71,140,0,15,27,2.1,8,5,3,81.2,2577,30649,112,49.6,
37,兒玉康成,パナソニックパンサーズ,336,6,7,5,0,71.4,0.83,0,0,0,,0,0.0,14,0,1,1,0.0,0,0,0,,2269,28368,5,71.4,
38,出耒田敬,堺ブレイザーズ,140,68,174,106,4,60.9,1.56,1,0,0,0.0,35,0.51,167,2,19,27,2.4,30,11,7,48.3,2989,22463,143,58.6,0.0
39,前田一誠,ウルフドッグス名古屋,100,27,0,0,0,,0.0,0,0,0,,0,0.0,48,0,1,11,5.2,0,0,0,,2960,33515,0,,
40,勝岡将斗,ウルフドッグス名古屋,391,19,28,8,1,28.6,0.42,0,0,0,,2,0.11,21,0,3,7,4.8,31,11,9,50.0,2416,29025,10,25.0,
41,古藤宏規,VC長野トライデンツ,14,2,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,7,1,2,28.6,343,1370,0,,
42,古賀健太,大分三好ヴァイセアドラー,324,39,152,68,15,44.7,1.74,59,22,7,37.3,6,0.15,55,3,20,10,0.9,1,1,0,100.0,2718,16819,77,34.9,25.4
43,古賀太一郎,東京グレートベアーズ,180,66,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,309,164,78,65.7,2685,31429,0,,
44,合田心平,JTサンダーズ広島,240,66,2,1,1,50.0,0.02,0,0,0,,6,0.09,90,2,4,16,5.6,1,0,0,0.0,3007,28902,9,0.0,
45,唐川大志,JTサンダーズ広島,300,70,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,288,147,49,59.5,3007,28902,0,,
46,喜入祥充,サントリーサンバーズ,300,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,2991,26349,0,,
47,坂下純也,JTサンダーズ広島,220,49,214,83,9,38.8,1.69,31,13,4,41.9,7,0.14,124,0,35,23,-2.4,214,92,52,55.1,3007,28902,90,34.6,29.0
48,堀江友裕,堺ブレイザーズ,100,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,4,2,0,50.0,2989,22463,0,,
49,大塚達宣,パナソニックパンサーズ,90,26,150,64,8,42.7,2.46,20,13,1,65.0,2,0.08,112,5,13,27,7.6,148,70,40,60.8,1101,9966,71,37.3,60.0
50,大宅真樹,サントリーサンバーズ,180,77,13,6,0,46.2,0.08,1,0,0,0.0,14,0.18,296,7,52,56,2.7,10,1,0,10.0,2991,26349,27,46.2,0.0
51,大竹壱青,パナソニックパンサーズ,80,37,188,92,11,48.9,2.49,68,35,7,51.5,7,0.19,98,7,18,26,9.2,6,4,1,75.0,2988,34500,106,43.1,41.2
52,大西基之,大分三好ヴァイセアドラー,45,2,3,2,0,66.7,1.0,0,0,0,,0,0.0,4,0,0,2,12.5,0,0,0,,1335,7754,2,66.7,
53,安永拓弥,JTサンダーズ広島,18,61,115,66,4,57.4,1.08,0,0,0,,34,0.56,117,2,40,10,-4.7,32,8,7,35.9,2684,25605,102,53.9,
54,安部翔大,大分三好ヴァイセアドラー,270,58,139,76,9,54.7,1.31,0,0,0,,21,0.36,184,4,28,48,4.9,29,19,4,72.4,2718,16819,101,48.2,
55,富田将馬,東レアローズ,180,78,435,214,23,49.2,2.74,88,44,8,50.0,19,0.24,259,18,65,63,6.8,485,241,126,62.7,2991,27899,251,43.9,40.9
56,小宮雄一郎,パナソニックパンサーズ,374,50,94,52,2,55.3,1.04,0,0,0,,27,0.54,143,2,8,21,3.7,7,2,0,28.6,2470,28286,81,53.2,
57,小山貴稀,ウルフドッグス名古屋,78,9,30,17,2,56.7,1.89,0,0,0,,9,1.0,23,1,4,3,3.3,2,0,0,0.0,1082,7930,27,50.0,
58,小川峻宗,大分三好ヴァイセアドラー,126,55,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,123,53,24,52.8,2718,16819,0,,
59,小川智大,ウルフドッグス名古屋,480,68,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,315,186,79,71.6,2960,33515,0,,
60,小川猛,サントリーサンバーズ,36,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,213,2055,0,,
61,小澤宙輝,東レアローズ,340,75,482,225,30,46.7,3.0,106,56,8,52.8,8,0.11,309,20,75,81,7.0,346,130,91,50.7,2991,27899,253,40.5,45.3
62,小田嶋大貴,東京グレートベアーズ,168,44,59,41,0,69.5,0.93,0,0,0,,13,0.3,159,3,12,39,6.1,19,9,5,60.5,2157,24987,57,69.5,
63,小野寺太志,JTサンダーズ広島,40,72,176,94,5,53.4,1.31,0,0,0,,30,0.42,279,9,36,68,6.1,47,22,10,57.4,3007,28902,133,50.6,
64,小野翔平,大分三好ヴァイセアドラー,192,36,103,50,6,48.5,1.39,16,10,2,62.5,1,0.03,88,2,21,26,3.7,71,26,14,46.5,2509,15983,53,42.7,50.0
65,小野遥輝,サントリーサンバーズ,54,64,150,84,6,56.0,1.31,0,0,0,,24,0.38,208,5,31,44,4.0,5,4,1,90.0,2646,23234,113,52.0,
66,山内晶大,パナソニックパンサーズ,200,84,225,135,9,60.0,1.61,0,0,0,,49,0.58,285,4,22,62,4.9,4,1,1,37.5,2988,34500,188,56.0,
67,山口拓海,東レアローズ,60,79,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,454,228,109,62.2,2991,27899,0,,
68,山口頌平,堺ブレイザーズ,280,34,0,0,0,,0.0,0,0,0,,0,0.0,47,1,3,7,4.3,0,0,0,,2989,22463,1,,
69,山崎彰都,ウルフドッグス名古屋,520,68,339,153,23,45.1,2.25,76,43,10,56.6,24,0.35,258,11,38,68,7.2,412,206,104,62.6,2960,33515,188,38.3,43.4
70,山本将平,JTサンダーズ広島,234,11,7,3,0,42.9,0.27,3,2,0,66.7,0,0.0,4,0,2,0,-12.5,17,8,2,52.9,2155,20976,3,42.9,66.7
71,山本智大,堺ブレイザーズ,400,70,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,231,109,56,59.3,2989,22463,0,,
72,山本龍,サントリーサンバーズ,30,9,1,1,0,100.0,0.11,0,0,0,,0,0.0,13,0,1,5,7.7,0,0,0,,1097,8881,1,100.0,
73,山田大悟,東京グレートベアーズ,132,13,23,11,2,47.8,0.85,0,0,0,,2,0.15,29,0,11,5,-5.2,5,2,0,40.0,1740,20682,13,39.1,
74,山田滉太,大分三好ヴァイセアドラー,130,38,147,61,15,41.5,1.61,36,18,3,50.0,11,0.29,112,9,56,20,0.0,135,66,31,60.4,1880,11321,81,31.3,41.7
75,山田脩造,ウルフドッグス名古屋,15,12,17,6,1,35.3,0.5,3,1,1,33.3,0,0.0,24,1,6,2,0.0,12,2,5,37.5,2212,26347,7,29.4,0.0
76,山田航旗,VC長野トライデンツ,12,9,17,8,0,47.1,0.89,0,0,0,,1,0.11,23,2,5,2,5.4,8,3,3,56.2,1715,12599,11,47.1,
77,峯村雄大,東レアローズ,140,16,16,6,1,37.5,0.38,0,0,0,,0,0.0,20,1,6,2,0.0,28,11,8,53.6,2991,27899,7,31.2,
78,川口喬,大分三好ヴァイセアドラー,144,24,49,25,1,51.0,1.04,0,0,0,,7,0.29,43,1,10,4,-1.2,11,8,2,81.8,2718,16819,33,49.0,
