,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
46,田城貴之,ヴォレアス北海道,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,0.0,,
47,秦俊介,富士通カワサキレッドスピリッツ,42,5,7.0,2.0,0.0,28.6,0.4,3.0,1.0,0.0,33.3,1.0,0.2,4.0,0.0,1.0,2.0,6.2,0.0,0.0,0.0,,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,3.0,28.6,33.3
48,緒方悠大,富士通カワサキレッドスピリッツ,3,1,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,,905,751.0,0.0,3.0,25.0,22.0,19.0,25.0,24.0,26.0,13.0,25.0,0.0,0.0,81.0,98.0,26,26,28,22,0.0,1,3,0.0,4.0,1.0,100.0,
49,藤原奨太,大分三好ヴァイセアドラー,28,7,22.0,5.0,0.0,22.7,0.71,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,3.0,0.0,42.0,18.0,4.0,47.6,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,5.0,22.7,0.0
50,角大樹,富士通カワサキレッドスピリッツ,34,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,3.0,0.0,-25.0,0.0,0.0,0.0,,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,0.0,,
51,谷尻勝将,ヴォレアス北海道,32,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,100.0,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,0.0,,
52,谷平拓海,富士通カワサキレッドスピリッツ,28,8,61.0,25.0,5.0,41.0,3.12,12.0,6.0,1.0,50.0,3.0,0.38,27.0,2.0,4.0,10.0,13.0,69.0,34.0,12.0,58.0,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,30.0,32.8,41.7
53,酒井駿,ヴォレアス北海道,34,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,0.0,,
54,長谷山拓,富士通カワサキレッドスピリッツ,36,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,2.0,0.0,-8.3,0.0,0.0,0.0,,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,0.0,,
55,関根ヒカル,ヴォレアス北海道,10,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,0.0,,
56,高橋太,富士通カワサキレッドスピリッツ,40,8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,0.0,,
