,Player,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
410,河東祐大,ジェイテクトSTINGS,10,24,2,0,0,0,,0.0,0,0,0,,0,0.0,5,0,0,1,5.0,0,0,0,,440,10165,0,,
411,河東祐大,ジェイテクトSTINGS,11,48,15,0,0,0,,0.0,0,0,0,,0,0.0,49,0,1,7,3.1,2,0,1,25.0,1112,15559,0,,
412,河東祐大,ジェイテクトSTINGS,12,12,2,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,331,2450,0,,
413,波佐間泰平,VC長野トライデンツ,1,60,11,14,7,0,50.0,0.64,0,0,0,,5,0.45,30,1,6,5,2.5,2,1,0,50.0,728,4022,13,50.0,
414,波佐間泰平,VC長野トライデンツ,10,60,10,22,13,0,59.1,1.3,0,0,0,,4,0.4,22,1,4,2,2.3,4,4,0,100.0,444,4990,18,59.1,
415,波佐間泰平,VC長野トライデンツ,11,90,10,23,10,0,43.5,1.0,0,0,0,,3,0.3,24,0,6,3,-3.1,4,2,0,50.0,836,6703,13,43.5,
416,波佐間泰平,VC長野トライデンツ,12,30,4,5,4,0,80.0,1.0,0,0,0,,1,0.25,12,0,1,1,0.0,2,1,1,75.0,331,2450,5,80.0,
417,深津旭弘,堺ブレイザーズ,1,102,20,5,2,0,40.0,0.1,0,0,0,,3,0.15,71,3,5,29,12.7,0,0,0,,1101,6834,8,40.0,
418,深津旭弘,堺ブレイザーズ,10,68,14,1,1,0,100.0,0.07,0,0,0,,2,0.14,55,0,4,17,5.9,5,0,0,0.0,442,5898,3,100.0,
419,深津旭弘,堺ブレイザーズ,11,136,27,7,4,0,57.1,0.15,1,0,0,0.0,5,0.19,111,8,7,26,11.5,3,0,0,0.0,1121,7781,17,57.1,0.0
420,深津旭弘,堺ブレイザーズ,12,34,7,2,2,0,100.0,0.29,0,0,0,,1,0.14,27,1,2,6,7.4,0,0,0,,325,1950,4,100.0,
421,深津英臣,パナソニックパンサーズ,1,8,17,2,2,0,100.0,0.12,0,0,0,,3,0.18,52,0,4,12,3.8,1,0,0,0.0,714,5113,5,100.0,
422,深津英臣,パナソニックパンサーズ,10,8,15,5,1,1,20.0,0.07,0,0,0,,4,0.27,54,3,2,13,10.6,0,0,0,,442,6906,8,0.0,
423,深津英臣,パナソニックパンサーズ,11,16,33,9,5,0,55.6,0.15,0,0,0,,6,0.18,122,3,6,36,8.6,0,0,0,,1118,14280,14,55.6,
424,深津英臣,パナソニックパンサーズ,12,2,2,0,0,0,,0.0,0,0,0,,0,0.0,3,0,1,0,-8.3,0,0,0,,161,1624,0,,
425,清水邦広,パナソニックパンサーズ,1,6,26,189,86,12,45.5,3.31,64,27,6,42.2,5,0.19,94,5,11,20,7.7,3,2,1,83.3,1101,9966,96,39.2,32.8
426,清水邦広,パナソニックパンサーズ,10,4,15,101,41,8,40.6,2.73,29,10,3,34.5,4,0.27,44,2,11,9,3.4,0,0,0,,442,6906,47,32.7,24.1
427,清水邦広,パナソニックパンサーズ,11,8,24,198,106,10,53.5,4.42,71,39,4,54.9,11,0.46,92,8,17,21,9.8,2,1,0,50.0,1118,14280,125,48.5,49.3
428,清水邦広,パナソニックパンサーズ,12,2,3,15,7,0,46.7,2.33,3,1,0,33.3,0,0.0,8,1,2,1,9.4,0,0,0,,327,3348,8,46.7,33.3
429,渡辺奏吾,パナソニックパンサーズ,1,20,6,2,1,0,50.0,0.17,0,0,0,,0,0.0,7,0,0,0,0.0,0,0,0,,719,6132,1,50.0,
430,渡辺奏吾,パナソニックパンサーズ,10,20,13,0,0,0,,0.0,0,0,0,,0,0.0,17,1,2,2,5.9,0,0,0,,442,6906,1,,
431,渡辺奏吾,パナソニックパンサーズ,11,40,29,7,2,0,28.6,0.07,0,0,0,,2,0.07,47,2,5,11,7.4,20,11,4,65.0,1118,14280,6,28.6,
