Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge
パナソニックパンサーズ,1,0,23,25,30,21,,99,104,51,4,49.0,12.75,17,11,0,64.7,11,2.75,100,4,14,17,4.8,70,34.0,18.0,61.4,1.0,33,東レアローズ,3,3,25,20,32,25,,102,112,70,3,62.5,17.50,27,18,0,66.7,8,2.00,101,5,29,15,1.5,85,40.0,25.0,61.8,1.0,19,118,2022/10/30,静岡県,三島市民体育館,1300,14:00,16:15,2:15,村上成司,西中野健,原啓之,久保池洋介
ジェイテクトSTINGS,0,0,24,17,22,,,63,94,35,8,37.2,11.67,14,8,2,57.1,7,2.33,64,1,12,16,3.1,60,20.0,26.0,55.0,3.0,20,堺ブレイザーズ,3,3,26,25,25,,,76,82,41,5,50.0,13.67,12,5,1,41.7,10,3.33,75,2,13,14,3.0,52,20.0,15.0,52.9,2.0,23,114,2022/10/29,愛知県,ウィングアリーナ刈谷,2562,13:03,14:42,1:39,高橋憲太郎,戸川太輔,岡田崇,松本冴香
堺ブレイザーズ,3,3,26,25,25,,,76,82,41,5,50.0,13.67,12,5,1,41.7,10,3.33,75,2,13,14,3.0,52,20.0,15.0,52.9,2.0,23,ジェイテクトSTINGS,0,0,24,17,22,,,63,94,35,8,37.2,11.67,14,8,2,57.1,7,2.33,64,1,12,16,3.1,60,20.0,26.0,55.0,3.0,20,114,2022/10/29,愛知県,ウィングアリーナ刈谷,2562,13:03,14:42,1:39,高橋憲太郎,戸川太輔,岡田崇,松本冴香
ジェイテクトSTINGS,1,0,25,19,22,21,,87,128,61,7,47.7,15.25,22,10,1,45.5,5,1.25,88,2,16,21,3.7,82,30.0,21.0,49.4,4.0,19,堺ブレイザーズ,3,3,20,25,25,25,,95,112,58,4,51.8,14.50,9,3,1,33.3,9,2.25,94,1,12,30,5.9,71,27.0,22.0,53.5,3.0,27,119,2022/10/30,愛知県,ウィングアリーナ刈谷,2500,13:00,15:00,2:00,高橋憲太郎,城智人,戸川太輔,波多野充
堺ブレイザーズ,3,3,20,25,25,25,,95,112,58,4,51.8,14.50,9,3,1,33.3,9,2.25,94,1,12,30,5.9,71,27.0,22.0,53.5,3.0,27,ジェイテクトSTINGS,1,0,25,19,22,21,,87,128,61,7,47.7,15.25,22,10,1,45.5,5,1.25,88,2,16,21,3.7,82,30.0,21.0,49.4,4.0,19,119,2022/10/30,愛知県,ウィングアリーナ刈谷,2500,13:00,15:00,2:00,高橋憲太郎,城智人,戸川太輔,波多野充
大分三好ヴァイセアドラー,0,0,23,23,22,,,68,73,37,6,50.7,12.33,14,7,2,50.0,6,2.00,69,0,16,13,-1.1,54,23.0,8.0,50.0,2.0,25,JTサンダーズ広島,3,3,25,25,25,,,75,82,40,3,48.8,13.33,15,9,0,60.0,8,2.67,74,3,19,21,4.7,53,34.0,6.0,69.8,3.0,24,115,2022/10/29,大分県,サイクルショップコダマ大洲アリーナ,900,14:00,15:34,1:34,田野昭彦,林淳一,平田敬基,平川祐介
JTサンダーズ広島,3,3,25,25,25,,,75,82,40,3,48.8,13.33,15,9,0,60.0,8,2.67,74,3,19,21,4.7,53,34.0,6.0,69.8,3.0,24,大分三好ヴァイセアドラー,0,0,23,23,22,,,68,73,37,6,50.7,12.33,14,7,2,50.0,6,2.00,69,0,16,13,-1.1,54,23.0,8.0,50.0,2.0,25,115,2022/10/29,大分県,サイクルショップコダマ大洲アリーナ,900,14:00,15:34,1:34,田野昭彦,林淳一,平田敬基,平川祐介
大分三好ヴァイセアドラー,0,0,21,16,16,,,53,80,35,4,43.8,11.67,14,7,0,50.0,4,1.33,54,0,18,11,-3.2,62,23.0,9.0,44.4,3.0,14,JTサンダーズ広島,3,3,25,25,25,,,75,60,33,2,55.0,11.00,12,7,1,58.3,10,3.33,74,7,11,24,13.9,36,22.0,3.0,65.3,1.0,25,120,2022/10/30,大分県,サイクルショップコダマ大洲アリーナ,780,13:00,14:21,1:21,田野昭彦,平田敬基,中山健,平川祐介
JTサンダーズ広島,3,3,25,25,25,,,75,60,33,2,55.0,11.00,12,7,1,58.3,10,3.33,74,7,11,24,13.9,36,22.0,3.0,65.3,1.0,25,大分三好ヴァイセアドラー,0,0,21,16,16,,,53,80,35,4,43.8,11.67,14,7,0,50.0,4,1.33,54,0,18,11,-3.2,62,23.0,9.0,44.4,3.0,14,120,2022/10/30,大分県,サイクルショップコダマ大洲アリーナ,780,13:00,14:21,1:21,田野昭彦,平田敬基,中山健,平川祐介
ウルフドッグス名古屋,3,3,25,25,25,,,75,84,46,7,54.8,15.33,21,12,3,57.1,9,3.00,74,3,7,25,10.1,46,21.0,10.0,56.5,2.0,17,VC長野トライデンツ,0,0,15,20,19,,,54,91,32,8,35.2,10.67,28,12,4,42.9,4,1.33,55,2,8,14,6.4,67,22.0,17.0,45.5,1.0,16,121,2022/11/05,愛知県,豊田合成記念体育館,1450,13:00,14:37,1:37,酒出修,西中野健,中口岳,芳川夕希奈
