Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Set
ヴォレアス北海道,2,1,22,25,19,25,13,104.0,124.0,65.0,12.0,52.4,13.0,25.0,16.0,3.0,64.0,11.0,2.2,104.0,3.0,15.0,30.0,6.5,84.0,36.0,22.0,56.0,4.0,25,つくばユナイテッドSunGAIA,3,2,25,13,25,21,15,99.0,131,59,7,45.0,11.80,20,7,1,35.0,6,1.20,99,3,14,24,5.6,88,38.0,18.0,53.4,4.0,31,514,2022-11-19,宮崎県,早水公園体育文化センター,508.0,13:00,15:03,2:03,田野昭彦,佐伯昌昭,工藤紀年,安達龍馬,5
つくばユナイテッドSunGAIA,3,2,25,13,25,21,15,99.0,131.0,59.0,7.0,45.0,11.8,20.0,7.0,1.0,35.0,6.0,1.2,99.0,3.0,14.0,24.0,5.6,88.0,38.0,18.0,53.4,4.0,31,ヴォレアス北海道,2,1,22,25,19,25,13,104.0,124,65,12,52.4,13.00,25,16,3,64.0,11,2.20,104,3,15,30,6.5,84,36.0,22.0,56.0,4.0,25,514,2022-11-19,宮崎県,早水公園体育文化センター,508.0,13:00,15:03,2:03,田野昭彦,佐伯昌昭,工藤紀年,安達龍馬,5
大同特殊鋼レッドスター,2,1,25,25,19,21,12,102.0,127.0,64.0,13.0,50.4,12.8,15.0,6.0,4.0,40.0,8.0,1.6,102.0,1.0,12.0,32.0,5.9,91.0,45.0,20.0,60.4,4.0,29,きんでんトリニティーブリッツ,3,2,23,21,25,25,15,109.0,123,62,8,50.4,12.40,23,12,3,52.2,12,2.40,109,6,15,23,7.3,90,39.0,18.0,53.3,6.0,29,515,2022-11-19,宮崎県,早水公園体育文化センター,517.0,15:40,17:37,1:57,田野昭彦,外室喜英,川崎博史,窪田忍,5
きんでんトリニティーブリッツ,3,2,23,21,25,25,15,109.0,123.0,62.0,8.0,50.4,12.4,23.0,12.0,3.0,52.2,12.0,2.4,109.0,6.0,15.0,23.0,7.3,90.0,39.0,18.0,53.3,6.0,29,大同特殊鋼レッドスター,2,1,25,25,19,21,12,102.0,127,64,13,50.4,12.80,15,6,4,40.0,8,1.60,102,1,12,32,5.9,91,45.0,20.0,60.4,4.0,29,515,2022-11-19,宮崎県,早水公園体育文化センター,517.0,15:40,17:37,1:57,田野昭彦,外室喜英,川崎博史,窪田忍,5
ヴォレアス北海道,3,3,25,25,25,,,75.0,75.0,48.0,4.0,64.0,16.0,11.0,8.0,0.0,72.7,3.0,1.0,74.0,3.0,9.0,18.0,7.1,51.0,29.0,9.0,65.7,1.0,21,きんでんトリニティーブリッツ,0,0,23,17,23,,,63.0,73,45,3,61.6,15.00,11,5,1,45.5,3,1.00,64,1,13,12,1.2,64,30.0,14.0,57.8,5.0,14,518,2022-11-20,宮崎県,早水公園体育文化センター,503.0,11:00,12:15,1:15,田野昭彦,外室喜英,工藤紀年,安達龍馬,3
きんでんトリニティーブリッツ,0,0,23,17,23,,,63.0,73.0,45.0,3.0,61.6,15.0,11.0,5.0,1.0,45.5,3.0,1.0,64.0,1.0,13.0,12.0,1.2,64.0,30.0,14.0,57.8,5.0,14,ヴォレアス北海道,3,3,25,25,25,,,75.0,75,48,4,64.0,16.00,11,8,0,72.7,3,1.00,74,3,9,18,7.1,51,29.0,9.0,65.7,1.0,21,518,2022-11-20,宮崎県,早水公園体育文化センター,503.0,11:00,12:15,1:15,田野昭彦,外室喜英,工藤紀年,安達龍馬,3
大同特殊鋼レッドスター,0,0,23,19,14,,,56.0,77.0,30.0,5.0,39.0,10.0,6.0,2.0,0.0,33.3,5.0,1.67,57.0,0.0,7.0,6.0,-0.4,59.0,23.0,15.0,51.7,2.0,21,つくばユナイテッドSunGAIA,3,3,25,25,25,,,75.0,75,45,8,60.0,15.00,15,6,3,40.0,11,3.67,74,5,13,18,8.4,50,37.0,7.0,81.0,0.0,14,519,2022-11-20,宮崎県,早水公園体育文化センター,597.0,13:00,14:12,1:12,田野昭彦,佐伯昌昭,川崎博史,永野宗敏,3
つくばユナイテッドSunGAIA,3,3,25,25,25,,,75.0,75.0,45.0,8.0,60.0,15.0,15.0,6.0,3.0,40.0,11.0,3.67,74.0,5.0,13.0,18.0,8.4,50.0,37.0,7.0,81.0,0.0,14,大同特殊鋼レッドスター,0,0,23,19,14,,,56.0,77,30,5,39.0,10.00,6,2,0,33.3,5,1.67,57,0,7,6,-0.4,59,23.0,15.0,51.7,2.0,21,519,2022-11-20,宮崎県,早水公園体育文化センター,597.0,13:00,14:12,1:12,田野昭彦,佐伯昌昭,川崎博史,永野宗敏,3
サフィルヴァ北海道,3,3,25,25,25,,,75.0,73.0,37.0,11.0,50.7,12.33,14.0,8.0,4.0,57.1,12.0,4.0,73.0,1.0,8.0,19.0,5.1,49.0,17.0,19.0,54.1,3.0,25,つくばユナイテッドSunGAIA,0,0,21,22,21,,,64.0,78,35,8,44.9,11.67,17,5,6,29.4,5,1.67,66,2,15,13,2.3,65,28.0,17.0,56.2,2.0,22,520,2022-11-26,北海道,旭川市リアルター夢りんご体育館,361.0,10:00,11:17,1:17,印藤智一,川島秀夫,大塚健之,本保敦理,3
つくばユナイテッドSunGAIA,0,0,21,22,21,,,64.0,78.0,35.0,8.0,44.9,11.67,17.0,5.0,6.0,29.4,5.0,1.67,66.0,2.0,15.0,13.0,2.3,65.0,28.0,17.0,56.2,2.0,22,サフィルヴァ北海道,3,3,25,25,25,,,75.0,73,37,11,50.7,12.33,14,8,4,57.1,12,4.00,73,1,8,19,5.1,49,17.0,19.0,54.1,3.0,25,520,2022-11-26,北海道,旭川市リアルター夢りんご体育館,361.0,10:00,11:17,1:17,印藤智一,川島秀夫,大塚健之,本保敦理,3
