Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
きんでんトリニティーブリッツ,0,0,18,15,22,,,55,96,34,15,35.4,11.33,16,2,7,12.5,4,1.33,56,1,9,12,3.1,65,26.0,26.0,60.0,2.0,16,埼玉アザレア,3,3,25,25,25,,,75,83,35,6,42.2,11.67,6,1,2,16.7,13,4.33,74,1,8,13,3.0,46,28.0,6.0,67.4,2.0,26
埼玉アザレア,3,3,25,25,25,,,75,83,35,6,42.2,11.67,6,1,2,16.7,13,4.33,74,1,8,13,3.0,46,28.0,6.0,67.4,2.0,26,きんでんトリニティーブリッツ,0,0,18,15,22,,,55,96,34,15,35.4,11.33,16,2,7,12.5,4,1.33,56,1,9,12,3.1,65,26.0,26.0,60.0,2.0,16
長野GaRons,0,0,22,16,22,,,60,85,37,9,43.5,12.33,7,3,2,42.9,7,2.33,61,1,6,18,6.6,63,26.0,14.0,52.4,0.0,15,富士通カワサキレッドスピリッツ,3,3,25,25,25,,,75,96,51,3,53.1,17.00,12,7,2,58.3,5,1.67,74,4,11,19,8.1,54,20.0,16.0,51.9,1.0,15
富士通カワサキレッドスピリッツ,3,3,25,25,25,,,75,96,51,3,53.1,17.00,12,7,2,58.3,5,1.67,74,4,11,19,8.1,54,20.0,16.0,51.9,1.0,15,長野GaRons,0,0,22,16,22,,,60,85,37,9,43.5,12.33,7,3,2,42.9,7,2.33,61,1,6,18,6.6,63,26.0,14.0,52.4,0.0,15
トヨタ自動車サンホークス,3,3,21,25,25,25,,96,110,55,13,50.0,13.75,23,9,6,39.1,8,2.00,95,4,13,19,5.8,69,31.0,25.0,63.0,1.0,29,東京ヴェルディ,1,0,25,21,19,16,,81,119,48,13,40.3,12.00,25,9,3,36.0,4,1.00,82,2,12,13,2.7,80,38.0,24.0,62.5,4.0,27
東京ヴェルディ,1,0,25,21,19,16,,81,119,48,13,40.3,12.00,25,9,3,36.0,4,1.00,82,2,12,13,2.7,80,38.0,24.0,62.5,4.0,27,トヨタ自動車サンホークス,3,3,21,25,25,25,,96,110,55,13,50.0,13.75,23,9,6,39.1,8,2.00,95,4,13,19,5.8,69,31.0,25.0,63.0,1.0,29
警視庁フォートファイターズ,2,1,25,22,25,17,13,102,139,56,5,40.3,11.20,21,7,1,33.3,17,3.40,103,1,5,28,6.6,87,34.0,24.0,52.9,8.0,28,富士通カワサキレッドスピリッツ,3,2,16,25,22,25,15,103,149,69,8,46.3,13.80,32,15,4,46.9,11,2.20,102,5,12,29,9.1,98,41.0,29.0,56.6,8.0,18
富士通カワサキレッドスピリッツ,3,2,16,25,22,25,15,103,149,69,8,46.3,13.80,32,15,4,46.9,11,2.20,102,5,12,29,9.1,98,41.0,29.0,56.6,8.0,18,警視庁フォートファイターズ,2,1,25,22,25,17,13,102,139,56,5,40.3,11.20,21,7,1,33.3,17,3.40,103,1,5,28,6.6,87,34.0,24.0,52.9,8.0,28
大同特殊鋼レッドスター,3,3,25,25,25,,,75,73,36,4,49.3,12.00,12,5,0,41.7,4,1.33,74,0,4,14,3.4,30,16.0,4.0,60.0,1.0,35,きんでんトリニティーブリッツ,0,0,16,16,15,,,47,100,34,13,34.0,11.33,29,9,7,31.0,4,1.33,48,0,18,10,-4.2,70,40.0,16.0,68.6,4.0,9
きんでんトリニティーブリッツ,0,0,16,16,15,,,47,100,34,13,34.0,11.33,29,9,7,31.0,4,1.33,48,0,18,10,-4.2,70,40.0,16.0,68.6,4.0,9,大同特殊鋼レッドスター,3,3,25,25,25,,,75,73,36,4,49.3,12.00,12,5,0,41.7,4,1.33,74,0,4,14,3.4,30,16.0,4.0,60.0,1.0,35
つくばユナイテッドSunGAIA,3,2,25,24,25,28,15,117,161,75,14,46.6,15.00,23,12,4,52.2,12,2.40,116,5,14,17,5.0,94,48.0,21.0,62.2,3.0,25,埼玉アザレア,2,1,22,26,20,30,10,108,166,62,10,37.3,12.40,10,3,0,30.0,13,2.60,109,2,14,24,4.1,100,49.0,31.0,64.5,1.0,31
