No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
22,L,鳥原大地,4,●,●,●,●,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,24.0,14.0,4.0,66.7,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
23,,北田陽季,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
24,,松岡将希,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
34,,三好佳介,4,■,■,■,■,,20.0,14.0,0.0,70.0,3.5,1.0,1.0,0.0,100.0,2.0,0.5,13.0,0.0,3.0,2.0,-1.9,2.0,0.0,1.0,25.0,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,16.0
73,,島波輝,4,■,■,■,■,,22.0,12.0,1.0,54.5,3.0,0.0,0.0,0.0,,2.0,0.5,15.0,1.0,3.0,3.0,6.7,1.0,1.0,0.0,100.0,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,15.0
88,,中山翔理,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
3,L,長濱裕,4,●,●,●,●,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,24.0,16.0,6.0,79.2,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,きんでんトリニティーブリッツ,ヴィアティン三重,3.0,0.0,29.0,27.0,23.0,25.0,25.0,23.0,25.0,20.0,,,102.0,95.0,26,22,26,23.0,,1:37,3,1,,4.0,0.0
5,L,大賀惠介,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,きんでんトリニティーブリッツ,ヴィアティン三重,3.0,0.0,29.0,27.0,23.0,25.0,25.0,23.0,25.0,20.0,,,102.0,95.0,26,22,26,23.0,,1:37,3,1,,4.0,0.0
6,,庄司練,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,きんでんトリニティーブリッツ,ヴィアティン三重,3.0,0.0,29.0,27.0,23.0,25.0,25.0,23.0,25.0,20.0,,,102.0,95.0,26,22,26,23.0,,1:37,3,1,,4.0,0.0
7,,田畑翔伍,4,■,■,■,■,,12.0,6.0,1.0,50.0,1.5,2.0,2.0,0.0,100.0,2.0,0.5,11.0,0.0,1.0,2.0,2.3,13.0,7.0,5.0,73.1,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,きんでんトリニティーブリッツ,ヴィアティン三重,3.0,0.0,29.0,27.0,23.0,25.0,25.0,23.0,25.0,20.0,,,102.0,95.0,26,22,26,23.0,,1:37,3,1,,4.0,8.0
