No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
13,,佃壮悟,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
16,,吉岡衛,3,■,■,■,,,38.0,15.0,2.0,39.5,5.0,6.0,3.0,1.0,50.0,4.0,1.33,12.0,0.0,1.0,1.0,0.0,7.0,3.0,2.0,57.1,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,19.0
18,,上坂将輝,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
19,,大野祐大朗,3,□,□,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,4.0,0.0,0.0,1.0,6.2,2.0,1.0,0.0,50.0,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
22,,神代優司,2,□,,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,4.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
1,,西澤岳,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,0.0
3,,逢沢亘,2,□,,■,,,4.0,2.0,0.0,50.0,1.0,0.0,0.0,0.0,,1.0,0.5,8.0,1.0,0.0,2.0,18.8,0.0,0.0,0.0,,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,4.0
5,,中野将太,3,■,■,■,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,10.0,0.0,1.0,0.0,-2.5,0.0,0.0,0.0,,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,0.0
6,L,森愛樹,3,●,●,●,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,20.0,20.0,0.0,100.0,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,0.0
11,,澁谷杜斗,3,■,■,■,,,20.0,10.0,3.0,50.0,3.33,3.0,1.0,1.0,33.3,1.0,0.33,11.0,1.0,1.0,1.0,9.1,33.0,18.0,11.0,71.2,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,12.0
16,,坂本尚哉,3,■,■,■,,,31.0,15.0,3.0,48.4,5.0,7.0,5.0,1.0,71.4,0.0,,12.0,0.0,0.0,2.0,4.2,2.0,0.0,2.0,50.0,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,15.0
20,,山口匠海,2,■,■,,,,5.0,2.0,0.0,40.0,1.0,0.0,0.0,0.0,,0.0,,7.0,0.0,0.0,3.0,10.7,0.0,0.0,0.0,,908,2023-04-09,岩手県,オガールアリーナ,50.0,14:00,15:12,1:12,佐々木克之,竹澤拓人,酒巻祐亮,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,21.0,25.0,20.0,25.0,21.0,25.0,,,,,62.0,75.0,22,22,22,,,1:06,0,3,3.0,,2.0
