Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge
PFUブルーキャッツ,3,2,23,21,25,25,15,109,179,75,8,41.9,15.00,11,7,1,63.6,8,1.60,108,5,15,25,6.9,93,37.0,35.0,58.6,3.0,21,岡山シーガルズ,2,1,25,25,19,21,12,102,170,64,7,37.6,12.80,3,0,0,0.0,10,2.00,103,2,9,20,4.6,92,39.0,24.0,55.4,5.0,26,336,2022/11/20,岡山県,山陽ふれあい公園総合体育館,700,13:30,15:50,2:20,塚本健,高橋宏明,上村英紀,大西英和
埼玉上尾メディックス,3,3,25,25,25,,,75,91,44,5,48.4,14.67,8,5,1,62.5,10,3.33,74,3,5,23,10.1,44,17.0,15.0,55.7,1.0,18,ヴィクトリーナ姫路,0,0,18,18,16,,,52,104,38,6,36.5,12.67,4,1,0,25.0,3,1.00,53,0,9,12,1.4,69,22.0,21.0,47.1,3.0,11,338,2022/11/26,東京都,大田区総合体育館,600,14:00,15:20,1:20,大江憲一,吉岡奈々,渡部菜保子,塚本健二
ヴィクトリーナ姫路,0,0,18,18,16,,,52,104,38,6,36.5,12.67,4,1,0,25.0,3,1.00,53,0,9,12,1.4,69,22.0,21.0,47.1,3.0,11,埼玉上尾メディックス,3,3,25,25,25,,,75,91,44,5,48.4,14.67,8,5,1,62.5,10,3.33,74,3,5,23,10.1,44,17.0,15.0,55.7,1.0,18,338,2022/11/26,東京都,大田区総合体育館,600,14:00,15:20,1:20,大江憲一,吉岡奈々,渡部菜保子,塚本健二
埼玉上尾メディックス,3,2,25,18,23,25,15,106,182,76,8,41.8,15.20,9,4,0,44.4,7,1.40,106,3,7,31,8.5,86,41.0,24.0,61.6,2.0,20,ヴィクトリーナ姫路,2,1,16,25,25,20,10,96,183,61,10,33.3,12.20,7,0,1,0.0,15,3.00,96,3,9,19,5.7,98,43.0,22.0,55.1,1.0,17,344,2022/11/27,東京都,大田区総合体育館,600,13:00,15:12,2:12,大江憲一,渡部奈保子,饗庭和恵,長谷川登
ヴィクトリーナ姫路,2,1,16,25,25,20,10,96,183,61,10,33.3,12.20,7,0,1,0.0,15,3.00,96,3,9,19,5.7,98,43.0,22.0,55.1,1.0,17,埼玉上尾メディックス,3,2,25,18,23,25,15,106,182,76,8,41.8,15.20,9,4,0,44.4,7,1.40,106,3,7,31,8.5,86,41.0,24.0,61.6,2.0,20,344,2022/11/27,東京都,大田区総合体育館,600,13:00,15:12,2:12,大江憲一,渡部奈保子,饗庭和恵,長谷川登
PFUブルーキャッツ,3,3,25,25,25,,,75,98,49,5,50.0,16.33,11,3,3,27.3,12,4.00,73,3,11,18,6.5,59,28.0,15.0,60.2,2.0,11,日立Astemoリヴァーレ,0,0,21,23,18,,,62,98,36,3,36.7,12.00,5,0,0,0.0,7,2.33,64,1,5,15,5.5,62,29.0,12.0,56.5,3.0,18,339,2022/11/26,福井県,トリムパークかなづ,677,14:00,15:19,1:19,三見洋子,澤達大,岩井好恵,斎藤悠介
日立Astemoリヴァーレ,0,0,21,23,18,,,62,98,36,3,36.7,12.00,5,0,0,0.0,7,2.33,64,1,5,15,5.5,62,29.0,12.0,56.5,3.0,18,PFUブルーキャッツ,3,3,25,25,25,,,75,98,49,5,50.0,16.33,11,3,3,27.3,12,4.00,73,3,11,18,6.5,59,28.0,15.0,60.2,2.0,11,339,2022/11/26,福井県,トリムパークかなづ,677,14:00,15:19,1:19,三見洋子,澤達大,岩井好恵,斎藤悠介
PFUブルーキャッツ,3,3,25,20,26,25,,96,141,60,9,42.6,15.00,7,2,2,28.6,12,3.00,95,3,12,20,5.3,76,45.0,17.0,70.4,3.0,21,日立Astemoリヴァーレ,1,0,22,25,24,15,,86,141,54,8,38.3,13.50,20,9,2,45.0,5,1.25,87,3,9,13,4.6,83,39.0,21.0,59.6,4.0,24,345,2022/11/27,福井県,トリムパークかなづ,629,14:00,15:54,1:54,三見洋子,森口豊,澤達大,斎藤悠介
日立Astemoリヴァーレ,1,0,22,25,24,15,,86,141,54,8,38.3,13.50,20,9,2,45.0,5,1.25,87,3,9,13,4.6,83,39.0,21.0,59.6,4.0,24,PFUブルーキャッツ,3,3,25,20,26,25,,96,141,60,9,42.6,15.00,7,2,2,28.6,12,3.00,95,3,12,20,5.3,76,45.0,17.0,70.4,3.0,21,345,2022/11/27,福井県,トリムパークかなづ,629,14:00,15:54,1:54,三見洋子,森口豊,澤達大,斎藤悠介
岡山シーガルズ,1,0,25,22,13,19,,79,162,50,8,30.9,12.50,2,0,0,0.0,5,1.25,80,0,8,26,5.6,88,41.0,13.0,54.0,4.0,24,トヨタ車体クインシーズ,3,3,21,25,25,25,,96,162,62,15,38.3,15.50,15,8,4,53.3,10,2.50,95,4,6,31,10.8,72,29.0,17.0,52.1,3.0,20,340,2022/11/26,岡山県,ジップアリーナ岡山,1100,14:00,15:51,1:51,田野昭彦,西中野健,長崎有紗,金谷基代
トヨタ車体クインシーズ,3,3,21,25,25,25,,96,162,62,15,38.3,15.50,15,8,4,53.3,10,2.50,95,4,6,31,10.8,72,29.0,17.0,52.1,3.0,20,岡山シーガルズ,1,0,25,22,13,19,,79,162,50,8,30.9,12.50,2,0,0,0.0,5,1.25,80,0,8,26,5.6,88,41.0,13.0,54.0,4.0,24,340,2022/11/26,岡山県,ジップアリーナ岡山,1100,14:00,15:51,1:51,田野昭彦,西中野健,長崎有紗,金谷基代
岡山シーガルズ,1,0,25,12,22,11,,70,144,45,8,31.2,11.25,6,0,1,0.0,9,2.25,71,0,0,17,6.0,90,32.0,20.0,46.7,5.0,16,トヨタ車体クインシーズ,3,3,23,25,25,25,,98,151,70,9,46.4,17.50,20,11,3,55.0,11,2.75,97,4,7,34,11.1,71,26.0,28.0,56.3,0.0,13,346,2022/11/27,岡山県,ジップアリーナ岡山,1000,14:00,15:46,1:46,田野昭彦,本間明,小松剛,真鍋美也子
トヨタ車体クインシーズ,3,3,23,25,25,25,,98,151,70,9,46.4,17.50,20,11,3,55.0,11,2.75,97,4,7,34,11.1,71,26.0,28.0,56.3,0.0,13,岡山シーガルズ,1,0,25,12,22,11,,70,144,45,8,31.2,11.25,6,0,1,0.0,9,2.25,71,0,0,17,6.0,90,32.0,20.0,46.7,5.0,16,346,2022/11/27,岡山県,ジップアリーナ岡山,1000,14:00,15:46,1:46,田野昭彦,本間明,小松剛,真鍋美也子
久光スプリングス,1,0,25,17,24,23,,89,142,58,11,40.8,14.50,6,2,1,33.3,5,1.25,90,3,9,20,6.4,80,35.0,24.0,58.8,2.0,23,東レアローズ,3,3,18,25,26,25,,94,152,66,6,43.4,16.50,14,9,0,64.3,1,0.25,93,5,12,17,6.7,81,44.0,14.0,63.0,5.0,22,341,2022/11/26,宮崎県,宮崎市総合体育館,1120,14:00,16:06,2:06,勝又正,服部篤史,黒岩健,永野宗敏
