,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
33,クランヤナ,東レアローズ,1,56,31,412.0,184.0,19.0,44.7,5.94,75.0,44.0,4.0,58.7,14.0,0.45,129.0,4.0,7.0,33.0,8.1,6.0,2.0,3.0,58.3,3085,9114.0,14.0,10.0,186.0,167.0,183.0,169.0,209.0,188.0,137.0,131.0,15.0,10.0,730.0,665.0,192.0,192.0,225.0,151.0,16.0,18,13,24.0,7.0,202.0,40.0,53.3
34,クランヤナ,東レアローズ,2,42,22,243.0,114.0,11.0,46.9,5.18,50.0,27.0,3.0,54.0,9.0,0.41,92.0,4.0,7.0,19.0,7.6,8.0,6.0,1.0,81.2,2571,7851.0,17.0,1.0,138.0,127.0,152.0,115.0,147.0,140.0,75.0,54.0,15.0,13.0,527.0,449.0,144.0,148.0,163.0,69.0,18.0,18,4,12.0,10.0,127.0,42.4,48.0
35,クランヤナ,東レアローズ,3,7,4,51.0,21.0,1.0,41.2,5.25,8.0,3.0,1.0,37.5,3.0,0.75,13.0,0.0,2.0,4.0,3.8,0.0,0.0,0.0,,448,1080.0,3.0,0.0,25.0,22.0,31.0,33.0,25.0,14.0,25.0,18.0,0.0,0.0,106.0,87.0,26.0,37.0,22.0,24.0,0.0,3,1,0.0,4.0,24.0,39.2,25.0
36,クランヤナ,東レアローズ,10,14,10,132.0,37.0,6.0,28.0,3.7,22.0,3.0,3.0,13.6,5.0,0.5,33.0,1.0,1.0,7.0,7.6,2.0,0.0,0.0,0.0,592,1280.0,4.0,2.0,48.0,44.0,46.0,42.0,41.0,41.0,48.0,42.0,31.0,27.0,214.0,196.0,50.0,54.0,49.0,52.0,35.0,6,4,0.0,10.0,43.0,23.5,0.0
37,クランヤナ,東レアローズ,11,56,33,428.0,180.0,13.0,42.1,5.45,88.0,39.0,4.0,44.3,13.0,0.39,139.0,4.0,5.0,42.0,9.5,2.0,0.0,0.0,0.0,2605,10497.0,18.0,6.0,199.0,185.0,192.0,173.0,190.0,157.0,112.0,121.0,55.0,49.0,748.0,685.0,206.0,204.0,196.0,134.0,65.0,22,11,18.0,15.0,197.0,39.0,39.8
38,クランヤナ,東レアローズ,12,14,9,102.0,45.0,5.0,44.1,5.0,18.0,7.0,3.0,38.9,4.0,0.44,33.0,0.0,3.0,10.0,5.3,1.0,0.0,1.0,50.0,710,1600.0,4.0,2.0,49.0,53.0,50.0,50.0,50.0,37.0,50.0,35.0,13.0,15.0,212.0,190.0,61.0,54.0,47.0,46.0,15.0,5,4,9.0,0.0,49.0,39.2,22.2
39,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,1,156,25,304.0,130.0,10.0,42.8,5.2,124.0,42.0,6.0,33.9,8.0,0.32,92.0,1.0,8.0,37.0,9.0,2.0,1.0,0.0,50.0,2349,4221.0,11.0,7.0,144.0,123.0,135.0,147.0,139.0,148.0,145.0,136.0,15.0,12.0,578.0,566.0,145.0,154.0,159.0,156.0,21.0,14,11,0.0,25.0,139.0,39.5,29.0
40,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,2,182,24,298.0,114.0,16.0,38.3,4.75,107.0,40.0,9.0,37.4,9.0,0.38,95.0,2.0,11.0,21.0,4.7,0.0,0.0,0.0,,2923,7909.0,6.0,15.0,155.0,171.0,155.0,153.0,155.0,166.0,68.0,70.0,0.0,0.0,533.0,560.0,178.0,178.0,175.0,81.0,0.0,8,16,13.0,11.0,125.0,32.9,29.0
41,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,3,26,3,35.0,18.0,0.0,51.4,6.0,9.0,5.0,0.0,55.6,1.0,0.33,12.0,0.0,1.0,3.0,4.2,0.0,0.0,0.0,,451,1288.0,0.0,3.0,20.0,25.0,21.0,25.0,23.0,25.0,0.0,0.0,0.0,0.0,64.0,75.0,26.0,27.0,26.0,0.0,0.0,0,3,0.0,3.0,19.0,51.4,55.6
42,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,10,52,6,54.0,21.0,3.0,38.9,3.5,12.0,1.0,1.0,8.3,3.0,0.5,17.0,0.0,3.0,8.0,7.4,0.0,0.0,0.0,,588,1782.0,1.0,5.0,38.0,41.0,41.0,50.0,45.0,47.0,18.0,25.0,8.0,15.0,150.0,178.0,39.0,56.0,48.0,22.0,16.0,2,6,0.0,8.0,24.0,33.3,0.0
