,Team,Month,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
55,岡山シーガルズ,2,9,6,165.0,161.0,169.0,95.0,32.0,622.0,1278.0,415.0,72.0,32.5,13.83,48.0,10.0,10.0,20.8,48.0,1.6,629.0,16.0,28.0,121.0,6.2,624.0,350.0,96.0,63.8,20.0,143,21,18,195.0,198.0,186.0,95.0,29.0,703.0,1284,505,62,318.2,135.77,90,28,9,50,14.57,696,28,60,162,62.8,595,309.0,155.0,519.5,21.0,120,3416,7835.0,30,479.0,26.8,0.0
56,岡山シーガルズ,3,14,9,165.0,157.0,160.0,135.0,37.0,654.0,1295.0,455.0,57.0,35.1,15.17,20.0,6.0,2.0,30.0,63.0,2.1,653.0,15.0,18.0,156.0,7.6,616.0,281.0,148.0,57.6,21.0,122,16,12,151.0,167.0,166.0,133.0,47.0,664.0,1305,497,56,267.1,116.68,87,33,8,53,12.2,665,18,45,175,53.7,630,279.0,185.0,411.6,21.0,96,3281,6727.0,30,533.0,30.7,20.0
57,岡山シーガルズ,10,4,3,48.0,30.0,50.0,46.0,0.0,174.0,265.0,109.0,15.0,41.1,13.62,14.0,4.0,3.0,28.6,13.0,1.62,174.0,6.0,5.0,47.0,9.5,150.0,47.0,38.0,44.0,9.0,46,4,3,45.0,50.0,38.0,45.0,0.0,178.0,302,121,19,79.6,30.25,12,5,2,12,3.0,178,16,24,53,25.9,166,64.0,52.0,108.4,3.0,29,596,2170.0,8,128.0,35.5,7.1
58,岡山シーガルズ,11,9,5,145.0,122.0,127.0,70.0,23.0,487.0,935.0,301.0,44.0,32.2,12.54,29.0,1.0,2.0,3.4,49.0,2.04,489.0,15.0,30.0,102.0,6.7,483.0,221.0,104.0,56.5,19.0,122,15,13,128.0,143.0,142.0,100.0,30.0,543.0,946,377,59,240.1,94.4,89,47,11,49,12.18,541,24,49,143,51.5,455,219.0,123.0,368.1,14.0,93,1974,6287.0,24,365.0,27.5,-3.4
59,岡山シーガルズ,12,4,3,46.0,43.0,50.0,20.0,0.0,159.0,258.0,100.0,7.0,38.8,14.29,0.0,0.0,0.0,,15.0,2.14,159.0,1.0,8.0,29.0,3.9,129.0,56.0,30.0,55.0,3.0,43,3,3,42.0,42.0,40.0,25.0,0.0,149.0,287,110,20,75.7,31.0,15,3,4,13,3.42,149,8,17,38,15.9,151,75.0,46.0,129.8,6.0,18,706,1052.0,7,116.0,36.0,
60,日立Astemoリヴァーレ,1,14,9,184.0,190.0,173.0,139.0,31.0,717.0,1205.0,498.0,72.0,41.3,15.56,78.0,21.0,5.0,26.9,57.0,1.78,719.0,28.0,59.0,197.0,8.7,642.0,262.0,193.0,55.8,26.0,134,18,15,201.0,184.0,169.0,126.0,27.0,707.0,1166,453,61,314.5,114.48,120,51,11,76,19.72,705,21,56,172,56.7,650,272.0,163.0,434.3,17.0,157,3075,8040.0,32,583.0,35.4,20.5
61,日立Astemoリヴァーレ,2,14,12,133.0,126.0,144.0,95.0,26.0,524.0,1007.0,362.0,51.0,35.9,15.08,69.0,23.0,7.0,33.3,46.0,1.92,520.0,16.0,38.0,140.0,8.0,474.0,218.0,117.0,58.3,17.0,100,10,6,142.0,125.0,116.0,100.0,29.0,512.0,968,342,49,212.8,85.89,74,14,9,45,10.9,516,19,35,127,49.8,473,199.0,127.0,334.2,16.0,106,2555,7482.0,24,424.0,30.9,23.2
62,日立Astemoリヴァーレ,3,11,6,153.0,160.0,151.0,138.0,29.0,631.0,1223.0,441.0,66.0,36.1,15.21,90.0,36.0,11.0,40.0,52.0,1.79,636.0,20.0,52.0,129.0,6.2,626.0,275.0,179.0,58.2,30.0,117,18,15,172.0,176.0,168.0,141.0,30.0,687.0,1217,445,56,261.1,108.73,59,19,5,67,16.35,681,27,46,155,57.1,580,265.0,171.0,418.4,15.0,148,3284,7671.0,29,513.0,30.7,27.8
63,日立Astemoリヴァーレ,10,6,5,41.0,50.0,47.0,25.0,15.0,178.0,271.0,111.0,18.0,41.0,13.88,30.0,13.0,2.0,43.3,20.0,2.5,176.0,10.0,15.0,56.0,11.5,139.0,65.0,23.0,55.0,2.0,37,2,1,38.0,41.0,45.0,18.0,8.0,150.0,270,94,22,68.6,23.33,26,4,5,18,4.53,152,3,12,49,14.6,155,74.0,21.0,108.1,3.0,35,588,1782.0,8,141.0,34.3,36.7
64,日立Astemoリヴァーレ,11,10,7,174.0,168.0,186.0,73.0,13.0,614.0,1067.0,406.0,63.0,38.1,14.0,120.0,43.0,12.0,35.8,59.0,2.03,619.0,16.0,70.0,147.0,5.7,599.0,296.0,123.0,59.7,25.0,133,19,17,180.0,182.0,199.0,96.0,15.0,672.0,1047,428,58,331.5,119.02000000000001,116,36,13,58,15.59,667,28,58,162,64.9,544,277.0,109.0,490.5,17.0,158,2603,8743.0,29,481.0,32.1,25.8
65,日立Astemoリヴァーレ,12,3,3,42.0,42.0,40.0,25.0,0.0,149.0,287.0,110.0,20.0,38.3,15.71,15.0,3.0,4.0,20.0,13.0,1.86,149.0,8.0,17.0,38.0,8.9,151.0,75.0,46.0,64.9,6.0,18,4,3,46.0,43.0,50.0,20.0,0.0,159.0,258,100,7,78.5,28.67,0,0,0,15,4.25,159,1,8,29,7.8999999999999995,129,56.0,30.0,113.4,3.0,43,706,1052.0,7,131.0,31.4,-6.7
66,東レアローズ,1,18,14,186.0,183.0,209.0,137.0,15.0,730.0,1169.0,523.0,56.0,44.7,16.87,111.0,55.0,6.0,49.5,54.0,1.74,727.0,24.0,63.0,206.0,8.2,603.0,292.0,137.0,59.8,17.0,129,13,10,167.0,169.0,188.0,131.0,10.0,665.0,1127,439,57,307.9,112.41,96,23,12,56,14.33,668,34,55,150,66.7,656,287.0,147.0,436.8,17.0,136,3085,9114.0,31,601.0,39.9,44.1
67,東レアローズ,2,18,17,138.0,152.0,147.0,75.0,15.0,527.0,798.0,378.0,37.0,47.4,17.18,69.0,39.0,5.0,56.5,33.0,1.5,520.0,23.0,50.0,108.0,7.2,405.0,219.0,88.0,64.9,8.0,93,4,1,127.0,115.0,140.0,54.0,13.0,449.0,764,308,39,240.3,83.73,66,29,8,33,8.7,456,13,46,90,30.8,464,222.0,117.0,357.8,8.0,95,2571,7851.0,22,434.0,42.7,49.3
68,東レアローズ,3,20,16,175.0,174.0,169.0,110.0,57.0,685.0,1147.0,470.0,58.0,41.0,15.67,106.0,36.0,10.0,34.0,60.0,2.0,680.0,21.0,55.0,205.0,8.6,559.0,254.0,152.0,59.0,19.0,134,10,5,151.0,167.0,137.0,109.0,48.0,612.0,1161,394,61,238.60000000000002,91.38,74,29,4,63,14.25,617,23,50,140,51.4,620,245.0,154.0,359.40000000000003,23.0,132,3261,7290.0,30,551.0,35.9,24.5
69,東レアローズ,10,6,4,48.0,46.0,41.0,48.0,31.0,214.0,344.0,122.0,14.0,35.5,12.2,38.0,6.0,4.0,15.8,15.0,1.5,214.0,14.0,22.0,47.0,9.5,159.0,78.0,26.0,57.2,6.0,63,4,2,44.0,42.0,41.0,42.0,27.0,196.0,356,123,22,69.2,24.6,31,7,6,26,5.2,196,5,35,52,9.4,187,84.0,47.0,115.0,6.0,42,592,1280.0,10,151.0,31.4,5.3
70,東レアローズ,11,22,18,199.0,192.0,190.0,112.0,55.0,748.0,1246.0,514.0,59.0,41.3,15.58,140.0,60.0,5.0,42.9,47.0,1.42,744.0,40.0,71.0,175.0,8.9,624.0,312.0,135.0,60.8,15.0,147,11,6,185.0,173.0,157.0,121.0,49.0,685.0,1220,463,70,303.0,113.5,170,68,21,58,13.45,689,19,60,163,50.2,655,303.0,155.0,460.5,17.0,145,2605,10497.0,33,601.0,36.5,39.3
71,東レアローズ,12,5,4,49.0,50.0,50.0,50.0,13.0,212.0,343.0,148.0,17.0,43.1,16.44,33.0,11.0,5.0,33.3,19.0,2.11,211.0,4.0,22.0,47.0,4.9,175.0,79.0,55.0,60.9,4.0,41,4,2,53.0,50.0,37.0,35.0,15.0,190.0,337,121,20,71.4,26.65,18,5,3,18,4.15,191,8,14,35,13.7,188,85.0,53.0,118.7,7.0,43,710,1600.0,9,171.0,38.2,18.2
