,Player,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,AEff%,BAEff%
106,勝岡将斗,10,92,5,4,0,0,0.0,0.0,0,0,0,,0,0.0,7,0,0,3,10.7,10,5,1,55.0,434,12823,0.0,
107,勝岡将斗,11,184,8,8,4,0,50.0,0.5,0,0,0,,1,0.06,6,0,1,1,0.0,0,0,0,,1108,9563,50.0,
108,勝岡将斗,12,23,3,12,3,0,25.0,1.0,0,0,0,,0,0.0,3,0,1,1,0.0,11,3,5,50.0,166,1724,25.0,
109,古賀健太,10,72,9,29,11,3,37.9,1.22,12,5,1,41.7,0,0.0,11,1,3,4,11.4,1,1,0,100.0,444,2516,27.6,33.3
110,古賀健太,11,108,10,70,35,5,50.0,3.5,31,12,3,38.7,4,0.15,25,2,6,3,5.0,0,0,0,,832,6020,42.9,29.0
111,古賀健太,12,36,5,9,3,1,33.3,0.6,1,0,0,0.0,1,0.1,3,0,3,0,-25.0,0,0,0,,329,1588,22.2,0.0
112,古賀太一郎,10,40,13,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,45,22,14,64.4,438,12076,,
113,古賀太一郎,11,60,22,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,114,55,32,62.3,833,9134,,
114,古賀太一郎,12,20,8,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,51,33,9,73.5,323,3297,,
115,合田心平,10,48,12,1,0,1,0.0,0.0,0,0,0,,1,0.03,23,2,0,6,15.2,1,0,0,0.0,450,5270,-100.0,
116,合田心平,11,96,28,0,0,0,,0.0,0,0,0,,1,0.01,28,0,3,5,1.8,0,0,0,,1125,8766,,
117,合田心平,12,24,8,1,1,0,100.0,0.12,0,0,0,,2,0.07,30,0,0,2,1.7,0,0,0,,323,3297,100.0,
118,唐川大志,10,60,12,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,42,29,10,81.0,450,5270,,
119,唐川大志,11,120,29,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,121,55,21,54.1,1125,8766,,
120,唐川大志,12,30,8,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,43,22,12,65.1,323,3297,,
121,喜入祥充,10,60,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,442,3455,,
122,喜入祥充,11,120,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,1123,12425,,
123,喜入祥充,12,30,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,329,1588,,
124,坂下純也,10,44,12,60,23,2,38.3,1.92,10,6,2,60.0,2,0.06,31,0,9,4,-4.0,56,28,10,58.9,450,5270,35.0,40.0
125,坂下純也,11,88,28,143,58,6,40.6,2.07,20,6,2,30.0,5,0.05,81,0,23,18,-1.5,141,59,37,55.0,1125,8766,36.4,20.0
126,坂下純也,12,22,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,4,2,1,62.5,323,3297,,
127,堀江友裕,10,20,2,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,442,5898,,
128,堀江友裕,11,40,2,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,1,1,0,100.0,1121,7781,,
129,堀江友裕,12,10,1,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,2,1,0,50.0,325,1950,,
130,大宅真樹,10,36,15,3,0,0,0.0,0.0,1,0,0,0.0,2,0.03,71,2,8,14,4.9,1,0,0,0.0,442,3455,0.0,0.0
131,大宅真樹,11,72,32,2,1,0,50.0,0.03,0,0,0,,7,0.05,121,3,21,22,2.7,6,1,0,16.7,1123,12425,50.0,
132,大宅真樹,12,18,6,2,2,0,100.0,0.33,0,0,0,,1,0.06,22,1,8,5,1.1,1,0,0,0.0,329,1588,100.0,
133,大竹壱青,10,16,4,22,12,0,54.5,3.0,9,5,0,55.6,1,0.08,13,1,3,5,11.5,1,1,0,100.0,442,6906,54.5,55.6
134,大竹壱青,11,32,18,90,46,6,51.1,2.56,30,16,4,53.3,3,0.08,48,6,5,12,16.1,1,1,0,100.0,1118,14280,44.4,40.0
135,大竹壱青,12,8,9,66,28,4,42.4,3.11,25,11,3,44.0,3,0.07,28,0,7,8,0.9,3,2,1,83.3,327,3348,36.4,32.0
136,大西基之,10,10,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,209,836,,
137,大西基之,11,15,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,446,2160,,
138,大西基之,12,10,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,329,1588,,
139,安永拓弥,10,4,12,31,21,0,67.7,1.75,0,0,0,,10,0.28,27,1,10,1,-4.6,5,3,1,70.0,450,5270,67.7,
140,安永拓弥,11,8,28,52,26,1,50.0,0.93,0,0,0,,14,0.13,50,1,18,5,-4.5,15,3,4,33.3,1125,8766,48.1,
141,安部翔大,10,60,13,36,23,2,63.9,1.77,0,0,0,,4,0.08,40,1,11,13,3.8,6,5,0,83.3,444,2516,58.3,
142,安部翔大,11,90,23,51,26,2,51.0,1.13,0,0,0,,10,0.1,65,1,10,11,1.9,11,8,2,81.8,832,6020,47.1,
143,安部翔大,12,30,3,8,3,0,37.5,1.0,0,0,0,,1,0.11,8,0,1,2,3.1,0,0,0,,329,1588,37.5,
144,富田将馬,10,36,16,96,49,2,51.0,3.06,25,17,0,68.0,7,0.1,48,1,16,9,-1.6,95,51,24,66.3,444,4605,49.0,68.0
145,富田将馬,11,72,31,164,81,13,49.4,2.61,33,15,5,45.5,6,0.05,102,7,19,26,8.6,193,99,49,64.0,1123,8601,41.5,30.3
146,富田将馬,12,18,9,65,29,3,44.6,3.22,7,4,1,57.1,3,0.07,31,4,7,13,17.7,50,20,16,56.0,325,1950,40.0,42.9
147,小宮雄一郎,10,88,15,27,16,1,59.3,1.07,0,0,0,,14,0.28,41,0,2,3,0.6,1,0,0,0.0,442,6906,55.6,
148,小宮雄一郎,11,154,28,48,28,1,58.3,1.0,0,0,0,,12,0.11,79,2,4,15,6.0,5,2,0,40.0,982,11900,56.2,
149,小宮雄一郎,12,44,7,19,8,0,42.1,1.14,0,0,0,,1,0.07,23,0,2,3,1.1,1,0,0,0.0,327,3348,42.1,
150,小山貴稀,12,13,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,166,1724,,
151,小川峻宗,10,28,5,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,34,12,7,45.6,444,2516,,
152,小川峻宗,11,42,23,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,1,1,0,100.0,832,6020,,
153,小川峻宗,12,14,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,329,1588,,
154,小川智大,10,96,13,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,54,32,14,72.2,434,12823,,
155,小川智大,11,192,25,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,120,73,26,71.7,1108,9563,,
156,小川智大,12,48,10,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,50,28,18,74.0,327,3348,,
157,小川猛,10,36,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,213,2055,,
158,小澤宙輝,10,68,17,88,42,6,47.7,2.47,19,11,2,57.9,2,0.02,78,3,15,23,6.4,94,33,26,48.9,444,4605,40.9,47.4
159,小澤宙輝,11,136,31,199,95,15,47.7,3.06,41,22,2,53.7,2,0.02,136,10,39,38,7.2,136,63,31,57.7,1123,8601,40.2,48.8
160,小澤宙輝,12,34,9,69,35,6,50.7,3.89,23,12,3,52.2,1,0.03,38,3,10,9,7.2,35,9,13,44.3,325,1950,42.0,39.1
161,小田嶋大貴,10,48,13,24,16,0,66.7,1.23,0,0,0,,7,0.17,48,1,6,13,5.7,12,7,4,75.0,438,12076,66.7,
162,小田嶋大貴,11,24,7,4,3,0,75.0,0.43,0,0,0,,1,0.04,29,0,0,5,4.3,3,0,1,16.7,305,2692,75.0,
163,小田嶋大貴,12,24,8,6,3,0,50.0,0.38,0,0,0,,2,0.05,25,1,2,5,7.0,0,0,0,,323,3297,50.0,
164,小野寺太志,10,8,12,32,19,0,59.4,1.58,0,0,0,,4,0.11,53,1,7,9,2.8,12,12,0,100.0,450,5270,59.4,
165,小野寺太志,11,16,31,72,31,2,43.1,1.0,0,0,0,,7,0.06,119,7,10,31,10.3,19,4,5,34.2,1125,8766,40.3,
166,小野寺太志,12,4,8,24,15,2,62.5,1.88,0,0,0,,4,0.15,23,0,6,7,1.1,3,2,0,66.7,323,3297,54.2,
167,小野翔平,10,24,4,0,0,0,,0.0,0,0,0,,0,0.0,5,0,2,0,-10.0,0,0,0,,235,1680,,
168,小野翔平,11,72,13,24,7,2,29.2,0.54,2,2,0,100.0,1,0.02,28,1,6,5,2.7,17,4,2,29.4,832,6020,20.8,100.0
169,小野翔平,12,24,4,7,2,1,28.6,0.5,1,0,0,0.0,0,0.0,4,0,2,1,-6.2,6,2,2,50.0,329,1588,14.3,0.0
170,小野遥輝,10,12,15,42,23,2,54.8,1.53,0,0,0,,7,0.12,41,2,8,10,6.1,1,1,0,100.0,442,3455,50.0,
171,小野遥輝,11,24,32,73,43,3,58.9,1.34,0,0,0,,11,0.09,112,3,15,21,4.0,3,3,0,100.0,1123,12425,54.8,
172,小野遥輝,12,6,6,14,7,0,50.0,1.17,0,0,0,,2,0.11,30,0,4,10,5.0,0,0,0,,329,1588,50.0,
173,山内晶大,10,40,15,40,20,1,50.0,1.33,0,0,0,,8,0.16,48,2,6,6,4.2,1,0,0,0.0,442,6906,47.5,
174,山内晶大,11,80,33,89,56,4,62.9,1.7,0,0,0,,17,0.13,122,1,10,28,4.5,2,1,0,50.0,1118,14280,58.4,
175,山内晶大,12,20,10,27,16,1,59.3,1.6,0,0,0,,2,0.04,30,0,2,9,5.8,0,0,0,,327,3348,55.6,
176,山口拓海,10,12,17,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,95,44,27,60.5,444,4605,,
177,山口拓海,11,24,31,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,184,96,41,63.3,1123,8601,,
178,山口拓海,12,6,9,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,64,25,19,53.9,325,1950,,
179,山口頌平,10,56,6,0,0,0,,0.0,0,0,0,,0,0.0,7,0,0,1,3.6,0,0,0,,442,5898,,
180,山口頌平,11,112,13,0,0,0,,0.0,0,0,0,,0,0.0,15,1,2,2,6.7,0,0,0,,1121,7781,,
181,山口頌平,12,28,2,0,0,0,,0.0,0,0,0,,0,0.0,9,0,1,2,2.8,0,0,0,,325,1950,,
182,山崎彰都,10,104,13,83,35,7,42.2,2.69,17,8,2,47.1,5,0.13,46,3,7,10,8.2,79,43,21,67.7,434,12823,33.7,35.3
183,山崎彰都,11,208,25,119,64,5,53.8,2.56,29,21,2,72.4,9,0.11,109,6,14,39,11.2,106,60,20,66.0,1108,9563,49.6,65.5
